Blau.DE;BLAU
Blau.EN;BLUE
Blau.FR;BLEU
Blau.SP;AZUL
Braun.DE;BRAUN
Braun.EN;BROWN
Braun.FR;BRUN
Braun.SP;MARRÓN
Gelb.DE;GELB
Gelb.EN;YELLOW
Gelb.FR;JAUNE
Gelb.SP;AMARILLO
Gold.DE;GOLD
Gold.EN;GOLD
Gold.FR;OR
Gold.SP;ORO
Grün.DE;GRÜN
Grün.EN;GREEN
Grün.FR;VERT
Grün.SP;VERDE
Lila.DE;LILA
Lila.EN;PURPLE
Lila.Fr;VIOLET
Lila.SP;PÚRPURA
Orange.DE;ORANGE
Orange.EN;ORANGE
Orange.FR;ORANGE
Orange.SP;NARANJA
Rosa.DE;ROSA
Rosa.EN;PINK
Rosa.FR;ROSE
Rosa.SP;ROSA
Rot.DE;ROT
Rot.EN;RED
Rot.FR;ROUGE
Rot.SP;ROJO
Schwarz.DE:SCHWARZ
Schwarz.EN;BLACK
Schwarz.FR;NOIR
Schwarz.SP;NEGRO
Silber.DE;SILBER
Silber.EN;SILVER
Silber.FR;ARGENT
Silber.SP;PLATA
Farben-Übersichtskarte.DE;FARBEN
Farben-Übersichtskarte.EN;COLORS
Farben-Übersichtskarte.FR;COULEURS
Farben-Übersichtskarte.SP;BANDERA
Weiss.DE;WEISS
Weiss.EN;WHITE
Weiss.FR;BLANC
Weiss.SP;BLANCO
